City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
168,ekangala,0,ZA,1529905069,64,-25.66,28.73,34.67,2.82
169,moshupa,0,BW,1529902800,67,-24.78,25.42,39.2,1.12
170,chama,32,ZM,1529905069,76,-11.22,33.16,66.62,6.17
171,rafaela,0,AR,1529904956,85,-31.25,-61.49,29.99,2.59
172,chicama,90,PE,1529902800,88,-7.84,-79.15,64.4,8.05
173,vardo,90,US,1529903700,73,39.62,-77.74,71.6,3.36
174,kriel,0,ZA,1529905070,57,-26.26,29.26,33.68,3.04
175,maragogi,64,BR,1529905071,94,-9.01,-35.22,72.83,6.17
176,te anau,80,NZ,1529905071,93,-45.41,167.72,34.13,5.73
177,halifax,90,CA,1529902800,87,44.65,-63.58,59.0,9.17
178,simao,68,CN,1529905071,75,22.76,100.79,77.33,2.82
179,walvis bay,0,NA,1529902800,93,-22.95,14.51,48.2,2.24
180,santa marta,75,CO,1529899200,88,11.24,-74.21,80.6,6.93
181,esperance,20,TT,1529902800,94,10.24,-61.45,77.0,12.75
182,birnin kebbi,12,NG,1529905073,93,12.45,4.2,67.16,2.93
183,yumen,80,CN,1529905073,77,40.29,97.04,64.1,9.75
184,goderich,0,CA,1529905074,86,43.74,-81.71,55.64,10.65
185,kikwit,12,CD,1529905074,94,-5.04,18.82,71.03,4.16
186,sorong,0,ID,1529905074,100,-0.86,131.25,82.19,2.93
187,saint-leu,90,RE,1529902800,77,-21.15,55.28,73.4,11.41
188,dingle,48,PH,1529905075,97,11.0,122.67,79.94,3.6
189,mahon,0,IE,1529902800,66,51.89,-8.4,55.4,5.82
190,mega,80,ET,1529905075,88,4.06,38.32,62.39,9.19
191,san cristobal,40,EC,1529902800,93,-0.39,-78.55,50.0,6.93
192,panguna,80,PG,1529905076,85,-6.32,155.48,79.04,4.38
193,opuwo,0,NA,1529905076,61,-18.06,13.84,39.89,4.05
194,kongsberg,0,NO,1529902200,72,59.67,9.65,62.6,2.24
195,hobyo,48,SO,1529905077,73,5.35,48.53,78.86,13.67
196,bilma,64,NE,1529905077,31,18.69,12.92,84.53,6.29
197,campbell river,90,CA,1529902800,93,50.02,-125.24,57.2,3.36
198,namibe,0,AO,1529905078,100,-15.19,12.15,67.88,2.93
199,saldanha,8,PT,1529905078,70,41.42,-6.55,61.58,5.39
200,nokaneng,0,BW,1529905078,76,-19.66,22.19,44.3,4.16
201,lerwick,0,GB,1529902200,81,60.15,-1.15,53.6,19.46
202,kazachinskoye,0,RU,1529905078,39,57.69,93.28,83.36,8.75
203,torbay,90,CA,1529903760,100,47.66,-52.73,44.6,9.17
204,staraya russa,8,RU,1529905079,94,57.99,31.36,58.25,10.2
205,chumikan,36,RU,1529904908,70,54.72,135.31,62.93,3.49
206,lorengau,36,PG,1529905079,100,-2.02,147.27,82.19,10.54
207,port blair,92,IN,1529905080,100,11.67,92.75,82.37,21.5
208,vieste,0,IT,1529902500,87,41.88,16.18,59.0,6.93
209,lata,8,IN,1529905080,64,30.78,78.62,72.56,1.92
210,east london,0,ZA,1529899200,71,-33.02,27.91,53.6,9.17
211,pisco,75,PE,1529902800,87,-13.71,-76.2,57.2,3.36
212,annau,0,TM,1529902800,12,37.89,58.52,98.6,4.7
213,erenhot,0,CN,1529905081,46,43.65,111.97,82.28,6.51
214,ancud,76,CL,1529905082,96,-41.87,-73.83,46.64,4.94
215,ostrovnoy,92,RU,1529905082,74,68.05,39.51,59.06,4.61
216,lazaro cardenas,92,MX,1529905082,31,28.39,-105.62,80.93,4.61
217,shelburne,40,CA,1529902800,93,44.08,-80.2,59.0,2.24
218,machico,20,PT,1529902800,82,32.7,-16.77,64.4,3.36
219,hambantota,56,LK,1529905083,92,6.12,81.12,83.0,15.57
220,kulim,75,MY,1529902800,62,5.37,100.55,87.8,5.82
